rank,code,name,country,birthdate
58,CamilaOsorio,Camila Osorio,COL,2001-12-22
59,DariaKasatkina,Daria Kasatkina,AUS,1997-05-07
60,KatieBoulter,Katie Boulter,GBR,1996-08-01
61,TaliaGibson,Talia Gibson,AUS,2004-06-18
62,AshlynKrueger,Ashlyn Krueger,USA,2004-05-07
63,ElenaGabrielaRuse,Elena Gabriela Ruse,ROU,1997-11-06
64,CatyMcnally,Caty Mcnally,USA,2001-11-20
65,MccartneyKessler,Mccartney Kessler,USA,1999-07-08
66,ElisabettaCocciaretto,Elisabetta Cocciaretto,ITA,2001-01-25
67,AlinaKorneeva,Alina Korneeva,RUS,2007-06-23
68,EmmaRaducanu,Emma Raducanu,GBR,2002-11-13
69,KimberlyBirrell,Kimberly Birrell,AUS,1998-04-29
70,AnnaBondar,Anna Bondar,HUN,1997-05-27
71,RenataZarazua,Renata Zarazua,MEX,1997-09-30
72,LanlanaTararudee,Lanlana Tararudee,THA,2004-07-07
73,PetraMarcinko,Petra Marcinko,CRO,2005-12-04
74,YuliiaStarodubtseva,Yuliia Starodubtseva,UKR,2000-02-17
75,MayaJoint,Maya Joint,AUS,2006-04-16
76,PannaUdvardy,Panna Udvardy,HUN,1998-09-28
77,HanneVandewinkel,Hanne Vandewinkel,BEL,2004-05-21
78,MagdaLinette,Magda Linette,POL,1992-02-12
79,TatjanaMaria,Tatjana Maria,GER,1987-08-08
80,YuliaPutintseva,Yulia Putintseva,KAZ,1995-01-07
81,AntoniaRuzic,Antonia Ruzic,CRO,2003-01-20
82,XiyuWang,Xiyu Wang,CHN,2001-03-28
83,PaulaBadosa,Paula Badosa,ESP,1997-11-15
84,EmilianaArango,Emiliana Arango,COL,2000-11-28
85,SimonaWaltert,Simona Waltert,SUI,2000-12-13
86,SinjaKraus,Sinja Kraus,AUT,2002-04-29
87,SolanaSierra,Solana Sierra,ARG,2004-06-17
88,KamillaRakhimova,Kamilla Rakhimova,UZB,2001-08-28
89,AlyciaParks,Alycia Parks,USA,2000-12-31
90,DarjaVidmanova,Darja Vidmanova,CZE,2003-01-09
91,KatieVolynets,Katie Volynets,USA,2001-12-31
92,MariaTimofeeva,Maria Timofeeva,UZB,2003-11-18
93,OksanaSelekhmeteva,Oksana Selekhmeteva,RUS,2003-01-13
94,AnnaBlinkova,Anna Blinkova,RUS,1998-09-10
95,TaylorTownsend,Taylor Townsend,USA,1996-04-16
96,PolinaKudermetova,Polina Kudermetova,UZB,2003-06-04
97,MananchayaSawangkaew,Mananchaya Sawangkaew,THA,2002-07-10
98,EvaLys,Eva Lys,GER,2002-01-12
99,MoyukaUchijima,Moyuka Uchijima,JPN,2001-08-11
100,TaylahPreston,Taylah Preston,AUS,2005-10-27
101,AnastasiaZakharova,Anastasia Zakharova,RUS,2002-01-18
102,LauraSiegemund,Laura Siegemund,GER,1988-03-04
103,AjlaTomljanovic,Ajla Tomljanovic,AUS,1993-05-07
104,FrancescaJones,Francesca Jones,GBR,2000-09-19
105,JessicaBouzasManeiro,Jessica Bouzas Maneiro,ESP,2002-09-24
106,VeronikaErjavec,Veronika Erjavec,SLO,1999-12-30
107,KaitlinQuevedo,Kaitlin Quevedo,ESP,2006-02-13
108,AlinaCharaeva,Alina Charaeva,RUS,2002-05-27
109,DarjaSemenistaja,Darja Semenistaja,LAT,2002-09-16
110,SofiaKenin,Sofia Kenin,USA,1998-11-14
111,ClaireLiu,Claire Liu,USA,2000-05-25
112,DayanaYastremska,Dayana Yastremska,UKR,2000-05-15
113,ElsaJacquemot,Elsa Jacquemot,FRA,2003-05-03
114,JuliaGrabher,Julia Grabher,AUT,1996-07-02
115,ElvinaKalieva,Elvina Kalieva,USA,2003-07-27
116,LauraSamson,Laura Samson,CZE,2008-03-10
117,KaylaDay,Kayla Day,USA,1999-09-28
118,DominikaSalkova,Dominika Salkova,CZE,2004-06-28
119,LucreziaStefanini,Lucrezia Stefanini,ITA,1998-05-15
120,VictoriaJimenezKasintseva,Victoria Jimenez Kasintseva,AND,2005-08-09
121,QinwenZheng,Qinwen Zheng,CHN,2002-10-08
122,MaryStoiana,Mary Stoiana,USA,2003-05-06
123,SonayKartal,Sonay Kartal,GBR,2001-10-28
124,EllaSeidel,Ella Seidel,GER,2005-02-14
125,KristinaLiutova,Kristina Liutova,RUS,2010-02-02
126,EmersonJones,Emerson Jones,AUS,2008-07-07
127,LeoliaJeanjean,Leolia Jeanjean,FRA,1995-08-14
128,LuluSun,Lulu Sun,NZL,2001-04-14
129,KatarzynaKawa,Katarzyna Kawa,POL,1992-11-17
130,LisaPigato,Lisa Pigato,ITA,2003-06-21
131,HarrietDart,Harriet Dart,GBR,1996-07-28
132,VeronikaPodrez,Veronika Podrez,UKR,2007-01-11
133,MarinaBassolsRibera,Marina Bassols Ribera,ESP,1999-12-13
134,MaddisonInglis,Maddison Inglis,AUS,1998-01-14
135,LuciaBronzetti,Lucia Bronzetti,ITA,1998-12-10
136,AliaksandraSasnovich,Aliaksandra Sasnovich,BLR,1994-03-22
137,NomaNohaAkugue,Noma Noha Akugue,GER,2003-12-02
138,YueYuan,Yue Yuan,CHN,1998-09-25
139,JelineVandromme,Jeline Vandromme,BEL,2007-11-16
140,MarinaStakusic,Marina Stakusic,CAN,2004-11-27
141,FionaFerro,Fiona Ferro,FRA,1997-03-12
142,AndreaLazaroGarcia,Andrea Lazaro Garcia,ESP,1994-11-04
143,CarolYoungSuhLee,Carol Young Suh Lee,POC,2001-12-21
144,HimenoSakatsume,Himeno Sakatsume,JPN,2001-08-03
145,LeyreRomeroGormaz,Leyre Romero Gormaz,ESP,2002-04-06
146,TamaraZidansek,Tamara Zidansek,SLO,1997-12-26
147,JuliaRiera,Julia Riera,ARG,2002-05-29
148,VarvaraGracheva,Varvara Gracheva,FRA,2000-08-02
149,TyraCaterinaGrant,Tyra Caterina Grant,ITA,2008-03-12
150,LolaRadivojevic,Lola Radivojevic,SRB,2005-01-02
151,RebeccaSramkova,Rebecca Sramkova,SVK,1996-10-19
152,SusanBandecchi,Susan Bandecchi,SUI,1998-07-01
153,MarketaVondrousova,Marketa Vondrousova,CZE,1999-06-28
154,BeatrizHaddadMaia,Beatriz Haddad Maia,BRA,1996-05-30
155,SofiaCostoulas,Sofia Costoulas,BEL,2005-04-02
156,PriscillaHon,Priscilla Hon,AUS,1998-05-10
157,DalmaGalfi,Dalma Galfi,HUN,1998-08-13
158,JazminOrtenzi,Jazmin Ortenzi,ARG,2001-11-20
159,ElinaAvanesyan,Elina Avanesyan,ARM,2002-09-17
160,PolinaIatcenko,Polina Iatcenko,RUS,2003-12-10
161,EkaterineGorgodze,Ekaterine Gorgodze,GEO,1991-12-03
162,KaylaCross,Kayla Cross,CAN,2005-03-21
163,TatianaProzorova,Tatiana Prozorova,RUS,2003-10-10
164,SuzanLamens,Suzan Lamens,NED,1999-07-05
165,VendulaValdmannova,Vendula Valdmannova,CZE,2007-12-10
166,ElizaraYaneva,Elizara Yaneva,BUL,2007-03-21
167,MaiHontama,Mai Hontama,JPN,1999-08-30
168,KajaJuvan,Kaja Juvan,SLO,2000-11-25
169,StormHunter,Storm Hunter,AUS,1994-08-11
170,ElizabethMandlik,Elizabeth Mandlik,USA,2001-05-19
171,TeodoraKostovic,Teodora Kostovic,SRB,2007-06-28
172,TiantsoaSarahRakotomangaRajaonah,Tiantsoa Sarah Rakotomanga Rajaonah,FRA,2005-12-15
173,LinZhu,Lin Zhu,CHN,1994-01-28
174,LindaFruhvirtova,Linda Fruhvirtova,CZE,2005-05-01
175,JilTeichmann,Jil Teichmann,SUI,1997-07-15
176,GreetMinnen,Greet Minnen,BEL,1997-08-14
177,AkashaUrhobo,Akasha Urhobo,USA,2007-01-19
178,YeXinMa,Ye Xin Ma,CHN,1999-06-10
179,YeonWooKu,Yeon Woo Ku,KOR,2003-03-15
180,RebekaMasarova,Rebeka Masarova,ESP,1999-08-06
181,VarvaraLepchenko,Varvara Lepchenko,USA,1986-05-21
182,MartynaKubka,Martyna Kubka,POL,2001-04-19
183,BiancaAndreescu,Bianca Andreescu,CAN,2000-06-16
184,GabrielaAndreaKnutson,Gabriela Andrea Knutson,CZE,1997-04-21
185,JuliaAvdeeva,Julia Avdeeva,RUS,2002-07-06
186,ElenaPridankina,Elena Pridankina,RUS,2005-08-30
187,RobinMontgomery,Robin Montgomery,USA,2004-09-05
188,DespinaPapamichail,Despina Papamichail,GRE,1993-02-09
189,NuriaBrancaccio,Nuria Brancaccio,ITA,2000-06-24
190,AlexandraShubladze,Alexandra Shubladze,RUS,2005-09-06
191,IrynaShymanovich,Iryna Shymanovich,BLR,1997-06-30
192,AnastasiaGasanova,Anastasia Gasanova,RUS,1999-05-15
193,LauraPigossi,Laura Pigossi,BRA,1994-08-02
194,AnastasiyaSoboleva,Anastasiya Soboleva,UKR,2004-04-23
195,MiaRistic,Mia Ristic,SRB,2006-05-17
196,CaroleMonnet,Carole Monnet,FRA,2001-12-01
197,EvaVedder,Eva Vedder,NED,1999-11-23
198,LuisinaGiovannini,Luisina Giovannini,ARG,2006-11-08
199,LindaKlimovicova,Linda Klimovicova,CZE,2004-06-18
200,AylaAksu,Ayla Aksu,USA,1996-07-15
201,JoannaGarland,Joanna Garland,TPE,2001-07-16
202,SaraSorribesTormo,Sara Sorribes Tormo,ESP,1996-10-08
203,ArantxaRus,Arantxa Rus,NED,1990-12-13
204,MonaBarthel,Mona Barthel,GER,1990-07-11
205,XiaodiYou,Xiaodi You,CHN,1996-05-12
206,KatieSwan,Katie Swan,GBR,1999-03-24
207,AnnaSiskova,Anna Siskova,CZE,2001-07-01
208,SloaneStephens,Sloane Stephens,USA,1993-03-20
209,GuiomarMaristanyZuletaDeReales,Guiomar Maristany Zuleta De Reales,ESP,1999-02-19
210,HanyuGuo,Hanyu Guo,CHN,1998-05-18
211,MadisonBrengle,Madison Brengle,USA,1990-04-03
212,AngelaFitaBoluda,Angela Fita Boluda,ESP,1999-07-12
213,KatherineSebov,Katherine Sebov,CAN,1999-01-05
214,ErikaAndreeva,Erika Andreeva,RUS,2004-06-24
215,HarmonyTan,Harmony Tan,FRA,1997-09-11
216,JenniferRuggeri,Jennifer Ruggeri,ITA,2003-07-23
217,JulieStruplova,Julie Struplova,CZE,2004-11-16
218,AlevtinaIbragimova,Alevtina Ibragimova,RUS,2005-01-19
219,MariaLourdesCarle,Maria Lourdes Carle,ARG,2000-02-10
220,CelineNaef,Celine Naef,SUI,2005-06-25
221,AliceTubello,Alice Tubello,FRA,2001-01-30
222,AlionaFalei,Aliona Falei,BLR,2004-03-29
223,HayuKinoshita,Hayu Kinoshita,JPN,2006-10-27
224,ViktoriaHruncakova,Viktoria Hruncakova,SVK,1998-05-11
225,LucieHavlickova,Lucie Havlickova,CZE,2005-03-13
226,DaryaAstakhova,Darya Astakhova,RUS,2002-01-26
227,NaoHibino,Nao Hibino,JPN,1994-11-28
228,AnoukKoevermans,Anouk Koevermans,NED,2004-01-02
229,FranciscaJorge,Francisca Jorge,POR,2000-04-21
230,KajsaRinaldoPersson,Kajsa Rinaldo Persson,SWE,1997-11-11
231,WhitneyOsuigwe,Whitney Osuigwe,USA,2002-04-17
232,IreneBurilloEscorihuela,Irene Burillo Escorihuela,ESP,1997-07-23
233,PolonaHercog,Polona Hercog,SLO,1991-01-20
234,XinyuGao,Xinyu Gao,CHN,1997-11-21
235,AliciaDudeney,Alicia Dudeney,GBR,2003-05-28
236,LoisBoisson,Lois Boisson,FRA,2003-05-16
237,FrancescaCurmi,Francesca Curmi,MLT,2002-07-07
238,JustinaMikulskyte,Justina Mikulskyte,LTU,1996-02-06
239,BarboraPalicova,Barbora Palicova,CZE,2004-03-11
240,VivianWolff,Vivian Wolff,GER,1998-10-08
241,MartinaCapurroTaborda,Martina Capurro Taborda,ARG,1997-12-04
242,CaijsaWildaHennemann,Caijsa Wilda Hennemann,SWE,2001-03-22
243,SaraSaito,Sara Saito,JPN,2006-10-03
244,KatrinaScott,Katrina Scott,USA,2004-06-11
245,CarolineDolehide,Caroline Dolehide,USA,1998-09-05
246,MiaPohankova,Mia Pohankova,SVK,2008-10-21
247,AliceRame,Alice Rame,FRA,1997-11-09
248,CarolynAnsari,Carolyn Ansari,USA,2000-12-29
249,ZhuoxuanBai,Zhuoxuan Bai,CHN,2002-11-16
250,AnnaLenaFriedsam,Anna Lena Friedsam,GER,1994-02-01
251,KatarinaZavatska,Katarina Zavatska,UKR,2000-02-05
252,ElenaRuxandraBertea,Elena Ruxandra Bertea,ROU,2006-05-06
253,LinaGjorcheska,Lina Gjorcheska,MKD,1994-08-03
254,SelenaJanicijevic,Selena Janicijevic,FRA,2002-07-23
255,CadenceBrace,Cadence Brace,CAN,2005-02-25
256,FangranTian,Fangran Tian,CHN,2003-08-10
257,HarukaKaji,Haruka Kaji,JPN,1994-09-25
258,OliviaGadecki,Olivia Gadecki,AUS,2002-04-24
259,MeiYamaguchi,Mei Yamaguchi,JPN,1999-06-14
260,AnastasiaTikhonova,Anastasia Tikhonova,RUS,2001-01-21
261,ValentinaRyser,Valentina Ryser,SUI,2001-03-22
262,HanShi,Han Shi,CHN,2005-05-30
263,AyanaAkli,Ayana Akli,USA,2001-07-06
264,FionaCrawley,Fiona Crawley,USA,2002-02-07
265,NoemiBasiletti,Noemi Basiletti,ITA,2006-03-11
266,DayeonBack,Dayeon Back,KOR,2002-01-24
267,JessikaPonchet,Jessika Ponchet,FRA,1996-09-26
268,SofyaLansere,Sofya Lansere,RUS,2000-09-29
269,SadaNahimana,Sada Nahimana,BDI,2001-04-21
270,RinaSaigo,Rina Saigo,JPN,2000-10-17
271,AnastasiaZolotareva,Anastasia Zolotareva,RUS,2002-01-18
272,KatarinaKuzmova,Katarina Kuzmova,SVK,2001-08-07
273,ElenaMicic,Elena Micic,AUS,2004-07-13
274,MikaStojsavljevic,Mika Stojsavljevic,GBR,2008-12-15
275,FedericaUrgesi,Federica Urgesi,ITA,2005-01-29
276,BerfuCengiz,Berfu Cengiz,TUR,1999-10-18
277,XinxinYao,Xinxin Yao,CHN,2003-10-20
278,AneMintegiDelOlmo,Ane Mintegi Del Olmo,ESP,2003-10-24
279,KyokaOkamura,Kyoka Okamura,JPN,1995-10-06
280,SamiraDeStefano,Samira De Stefano,ITA,2004-05-06
281,HinaInoue,Hina Inoue,USA,2003-06-01
282,CarolineUebelhoer,Caroline Uebelhoer,GER,1996-04-08
283,LeaMa,Lea Ma,USA,2001-02-01
284,JulietaPareja,Julieta Pareja,USA,2009-02-18
285,RadaZolotareva,Rada Zolotareva,RUS,2008-09-28
286,YukiNaito,Yuki Naito,JPN,2001-02-16
287,VeraZvonareva,Vera Zvonareva,RUS,1984-09-07
288,DariaKhomutsianskaya,Daria Khomutsianskaya,BLR,2004-02-15
289,GeorgiaPedone,Georgia Pedone,ITA,2004-08-31
290,EvaGuerreroAlvarez,Eva Guerrero Alvarez,ESP,1999-09-04
291,YasmineKabbaj,Yasmine Kabbaj,MAR,2004-01-15
292,AuroraZantedeschi,Aurora Zantedeschi,ITA,2000-11-02
293,ChloePaquet,Chloe Paquet,FRA,1994-07-01
294,LizetteCabrera,Lizette Cabrera,AUS,1997-12-19
295,HannaChang,Hanna Chang,USA,1998-02-25
296,MarthaMatoula,Martha Matoula,GRE,1997-04-26
297,MatildeJorge,Matilde Jorge,POR,2004-04-07
298,MinaHodzic,Mina Hodzic,GER,2002-06-06
299,RositsaDencheva,Rositsa Dencheva,BUL,2007-03-10
300,LisaZaar,Lisa Zaar,SWE,2000-04-30
